1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ШтрихКод;ЛокальныйКод;Внешний код;Наименование;Полное наименование;ЕдиницаИзмерения;Группа;Группа2;Группа3;Группа4;Группа5;НДС;ЦенаПродажи;Страна;Поставщик;ЦенаЗакупки;Остаток;Производитель;ИНН Производителя;КПП Производителя;Импортер;ИНН Импортера;КПП Ипортера;Табак;Алкоголь;Крепость;Объем;АлкоКод;Вид алкогольной продукции
4607177073088;1647;95c79efc-a3a3-11e5-87ca-001e8c783f4c;Наггетсы куринные в ассорт. 300 гр Мираторг;Наггетсы куринные в ассорт. 300 гр Мираторг;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;120;;;;4;;;;;;;;;;;;;
4607177073095;1647;95c79efc-a3a3-11e5-87ca-001e8c783f4c;Наггетсы куринные в ассорт. 300 гр Мираторг;Наггетсы куринные в ассорт. 300 гр Мираторг;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;120;;;;4;;;;;;;;;;;;;
4607177073101;1647;95c79efc-a3a3-11e5-87ca-001e8c783f4c;Наггетсы куринные в ассорт. 300 гр Мираторг;Наггетсы куринные в ассорт. 300 гр Мираторг;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;120;;;;4;;;;;;;;;;;;;
4607177073118;1647;95c79efc-a3a3-11e5-87ca-001e8c783f4c;Наггетсы куринные в ассорт. 300 гр Мираторг;Наггетсы куринные в ассорт. 300 гр Мираторг;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;120;;;;4;;;;;;;;;;;;;
4607177073125;1647;95c79efc-a3a3-11e5-87ca-001e8c783f4c;Наггетсы куринные в ассорт. 300 гр Мираторг;Наггетсы куринные в ассорт. 300 гр Мираторг;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;120;;;;4;;;;;;;;;;;;;
7622210357892;623;4862c6ad-f2c8-11e4-8845-001e8c783f4c;Пикник шоколадный батончик  35 гр.;Пикник шоколадный батончик  35 гр.;шт;Шоколад;Кондитерские изделия;;;;;30;;;;5;;;;;;;;;;;;;
;10640;fc04c9d8-f2e0-11e4-8845-001e8c783f4c;Сахарное печенье "К кофе"с какао  кг/1414/;Сахарное печенье "К кофе"с какао  кг/1414/;кг;Печенье весовое;Кондитерские изделия;;;;;162;;;;1,988;;;;;;;;;;;;;
4607109843598;656;dd8334e2-f382-11e4-8845-001e8c783f4c;Конфета Джет С 42 гр с печеньем;Конфета Джет С 42 гр с печеньем;шт;Шоколад;Кондитерские изделия;;;;;9;;;;17;;;;;;;;;;;;;
;10662;dd8334f2-f382-11e4-8845-001e8c783f4c;Конфеты Чио Рио кг/1 434/;Конфеты Чио Рио кг/1 434/;кг;Шоколадные, халва;Конфеты весовые;Кондитерские изделия;;;;294;;;;1,058;;;;;;;;;;;;;
4606779683008;664;044eaf45-f394-11e4-8845-001e8c783f4c;Эрмигурт  йогурт сливочный 0,3% Ehrmann  115 г;Эрмигурт  йогурт сливочный 0,3% Ehrmann  115 г;шт;Йогурты, творожки;Молочная продукция;;;;;21;;;;2;;;;;;;;;;;;;
4606779683107;664;044eaf45-f394-11e4-8845-001e8c783f4c;Эрмигурт  йогурт сливочный 0,3% Ehrmann  115 г;Эрмигурт  йогурт сливочный 0,3% Ehrmann  115 г;шт;Йогурты, творожки;Молочная продукция;;;;;21;;;;2;;;;;;;;;;;;;
;666;044eaf53-f394-11e4-8845-001e8c783f4c;Эрмигурт  йогурт Экстра сливочный 7,5% Ehrmann  115 г;Эрмигурт  йогурт Экстра сливочный 7,5% Ehrmann  115 г;шт;Йогурты, творожки;Молочная продукция;;;;;30;;;;4;;;;;;;;;;;;;
4606779684005;666;044eaf53-f394-11e4-8845-001e8c783f4c;Эрмигурт  йогурт Экстра сливочный 7,5% Ehrmann  115 г;Эрмигурт  йогурт Экстра сливочный 7,5% Ehrmann  115 г;шт;Йогурты, творожки;Молочная продукция;;;;;30;;;;4;;;;;;;;;;;;;
5998749104392;669;3e5d502c-f3a2-11e4-8845-001e8c783f4c;Педигри Дента Стик 77 гр;Педигри Дента Стик 77 гр;шт;Корма для животных;;;;;;86;;;;3;;;;;;;;;;;;;
4607065001025;671;3e5d5034-f3a2-11e4-8845-001e8c783f4c;Dreamies  в ассортименте  30 гр.;Dreamies  в ассортименте  30 гр.;шт;Корма для животных;;;;;;33;;;;7;;;;;;;;;;;;;
4607065001049;671;3e5d5034-f3a2-11e4-8845-001e8c783f4c;Dreamies  в ассортименте  30 гр.;Dreamies  в ассортименте  30 гр.;шт;Корма для животных;;;;;;33;;;;7;;;;;;;;;;;;;
4607065001063;671;3e5d5034-f3a2-11e4-8845-001e8c783f4c;Dreamies  в ассортименте  30 гр.;Dreamies  в ассортименте  30 гр.;шт;Корма для животных;;;;;;33;;;;7;;;;;;;;;;;;;
4607065001087;671;3e5d5034-f3a2-11e4-8845-001e8c783f4c;Dreamies  в ассортименте  30 гр.;Dreamies  в ассортименте  30 гр.;шт;Корма для животных;;;;;;33;;;;7;;;;;;;;;;;;;
4670001096560;687;ad7227ee-f45a-11e4-8845-001e8c783f4c;Хрен ядрёный Барко 170 гр;Хрен ядрёный Барко 170 гр;шт;Кетчупы, томат. паста, горчица;;;;;;40;;;;1;;;;;;;;;;;;;
4601501280135;2035;33be010f-0c32-11e6-8895-001e8c783f4c;Гессер Пиво 4,7% 1,35 л;Гессер Пиво 4,7% 1,35 л;шт;Пиво;Слабоалкогольная продукция;;;;;141;;;;2;;;;;;;;;;;;;
4605627008024;2037;672701c3-0c38-11e6-8895-001e8c783f4c;Нежный с соком йогурт  0,1% 95 гр;Нежный с соком йогурт  0,1% 95 гр;шт;Йогурты, творожки;Молочная продукция;;;;;17;;;;6;;;;;;;;;;;;;
4605627008048;2037;672701c3-0c38-11e6-8895-001e8c783f4c;Нежный с соком йогурт  0,1% 95 гр;Нежный с соком йогурт  0,1% 95 гр;шт;Йогурты, творожки;Молочная продукция;;;;;17;;;;6;;;;;;;;;;;;;
4605627008567;2037;672701c3-0c38-11e6-8895-001e8c783f4c;Нежный с соком йогурт  0,1% 95 гр;Нежный с соком йогурт  0,1% 95 гр;шт;Йогурты, творожки;Молочная продукция;;;;;17;;;;6;;;;;;;;;;;;;
2000999690983;1532;41c47b9f-5ff5-11e5-88ef-001e8c783f4c;Сервелат Ярмарочный /Даурия/ 350 гр;Сервелат Ярмарочный /Даурия/ 350 гр;шт;Колбасные изделия ;;;;;;122;;;;1;;;;;;;;;;;;;
